  12.0   7.7957687899470329e-03   4.2595152791438377e-18   9.4438603175391022e-23   2.8186114749259062e-20   4.2764774964836384e-19   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   1.8427911974150391e-10   8.7105073588028548e-13   9.4581175407808583e-19   2.4550772279362146e-18   4.8664011509617431e-17   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   1.1818182543699152e-10   1.9851393417980034e-08   3.0952132268899715e-14   2.9227712101693309e-14   4.4400147078925423e-13   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   1.3363207207461869e-09   7.1451242547482252e-05   1.1078195999436602e-10   5.4309855224143888e-11   8.3152335017544488e-10   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   1.3950599564438448e-09   4.3607139377854764e-04   6.5579791597158987e-10   3.1435064329343732e-07   4.9637346819508821e-06   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   4.7624760038389446e-12   2.5257182642235421e-05   4.7856535401180622e-10   5.7067966554313898e-04   1.0310067795217037e-02   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   1.7384507167150787e-09   2.8175778155059561e-08   4.4270578314353770e-09   9.6567831933498383e-03   2.3928222060203552e-01   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   1.4324067487692105e-09   6.5200950416510750e-08   1.0573940611990906e-09   2.1941976156085730e-03   7.5267031788825989e-02   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   2.3537563564879349e-10   2.2089963191973538e-09   2.8710634564221849e-11   1.0596591891953722e-04   4.0138899348676205e-03   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   7.8044255502618398e-09   2.7330019136684314e-08   6.8386338258896728e-11   2.2996641746431123e-06   8.7424283265136182e-05   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.0   3.0840543452370639e-09   1.2449023145677529e-08   2.7966125509121254e-12   2.2059336579616229e-09   8.3684682294915547e-08   0.0000000000000000e+00   0.0000000000000000e+00 2 
  12.2   1.3535055813918007e-06   2.4906992166506825e-06   1.1954318646090201e-09   1.4365249267900282e-10   5.3771005426028751e-09   0.0000000000000000e+00   0.0000000000000000e+00 1 
  12.5   1.3939577002020087e-05   3.1921557820169255e-05   4.3651807168920698e-10   1.9012664154161030e-07   7.0504856921616010e-06   0.0000000000000000e+00   0.0000000000000000e+00 1 
  12.8   6.5387925133109093e-05   1.6071794379968196e-04   4.9999776763343107e-08   1.3326509815669851e-06   4.8797955969348550e-05   0.0000000000000000e+00   0.0000000000000000e+00 1 
  13.0   2.4273646704386920e-04   6.2744360184296966e-04   1.6923996426498888e-08   4.7174626160995103e-06   1.7036704230122268e-04   0.0000000000000000e+00   0.0000000000000000e+00 1 
  13.2   6.0364668024703860e-04   1.6110426513478160e-03   2.6812975306711451e-07   1.2096431419195142e-05   4.3010883382521570e-04   0.0000000000000000e+00   0.0000000000000000e+00 1 
  13.5   1.2262527598068118e-03   3.2684714533388615e-03   1.6270087144221179e-07   2.6480367523618042e-05   9.2452304670587182e-04   0.0000000000000000e+00   0.0000000000000000e+00 1 
  13.8   2.2629029117524624e-03   5.9541095979511738e-03   2.8706955390589428e-07   5.0317572458880022e-05   1.7182498704642057e-03   0.0000000000000000e+00   0.0000000000000000e+00 1 
  14.0   3.7939175963401794e-03   9.8933810368180275e-03   1.1010749290107924e-07   8.9754161308519542e-05   2.9824832454323769e-03   0.0000000000000000e+00   0.0000000000000000e+00 1 
  14.2   5.9444038197398186e-03   1.5567675232887268e-02   2.7048088213632582e-07   1.5246163820847869e-04   4.8979562707245350e-03   0.0000000000000000e+00   0.0000000000000000e+00 1 
  14.5   8.6140139028429985e-03   2.2914456203579903e-02   1.6490470500230003e-07   2.4810706963762641e-04   7.6425042934715748e-03   0.0000000000000000e+00   0.0000000000000000e+00 1 
  14.8   1.1743986047804356e-02   3.2204981893301010e-02   4.8249393103105831e-07   3.9087273762561381e-04   1.1429999023675919e-02   0.0000000000000000e+00   0.0000000000000000e+00 1 
  15.0   1.4821759425103664e-02   4.2664051055908203e-02   5.6521901115047513e-07   6.0962716815993190e-04   1.6720594838261604e-02   0.0000000000000000e+00   0.0000000000000000e+00 1 
  15.2   1.7202442511916161e-02   5.2305657416582108e-02   3.0100395065346675e-07   9.3659100821241736e-04   2.3752953857183456e-02   0.0000000000000000e+00   0.0000000000000000e+00 1 
